	tetracycline_efflux_MFS_transporter_Tet(B)	tetracycline_repressor_protein_class_A(tetR)	tetracycline_efflux_MFS_transporter_Tet(G)	tetracycline_resistance_transcriptional_repressor_TetR(G)	tetracycline_efflux_MFS_transporter_Tet(D)	Group
HenanCDC_SMHALYTZLH8	0	1	0	0	0	R
HenanCDC_SMHALYTZLH9	0	1	0	0	0	R
HenanCDC_SMHALYTZLQ1	0	1	0	0	0	R
HenanCDC_SMHALYTZLQ10	0	1	0	0	0	R
HenanCDC_SMHALYTZLQ12	0	1	0	0	0	R
HenanCDC_SMHALYTZLQ3	0	1	0	0	0	R
HenanCDC_SMHALYTZLQ4	0	1	0	0	0	R
HenanCDC_SMHALYTZLQ5	0	1	0	0	0	R
HenanCDC_SMHALYTZLQ6	0	1	0	0	0	R
HenanCDC_SMHALYTZLQ7	0	1	0	0	0	R
HenanCDC_SMHALYTZLQ8	0	1	0	0	0	R
HenanCDC_SMHALYTZLQ9	0	1	0	0	0	R
HenanCDC_SMHALYTZLS1	0	1	0	0	0	R
HenanCDC_SMHALYTZLS2	0	1	0	0	0	R
HenanCDC_SMHALYTZLS3	0	1	0	0	0	R
HenanCDC_SMHALYTZLS5	0	1	0	0	0	R
HenanCDC_SMHALYTZLS6	0	1	0	0	0	R
HenanCDC_SMHALYTZRS1	0	1	0	0	0	R
HenanCDC_SMHALYTZRS3	0	1	0	0	0	R
HenanCDC_SMHALYTZRS4	0	1	0	0	0	R
HenanCDC_SMHALYTZRS5	0	1	0	0	0	R
HenanCDC_SMHALYTZRS6	0	1	0	0	0	R
HenanCDC_SMHALYTZRS8	0	1	0	0	0	R
HenanCDC_SMHALYTZRS9	0	1	0	0	0	R
HenanCDC_SMHALYTZTM2	0	1	0	0	0	R
HenanCDC_SMHALYTZTM5	0	1	0	0	0	R
HenanCDC_SMHALYTZTM6	0	1	0	0	0	R
HenanCDC_SMHALYTZTM7	0	1	0	0	0	R
HenanCDC_SMHALYTZTM8	0	1	0	0	0	R
HenanCDC_SMHALYYZTR4	0	1	0	0	0	R
HenanCDC_SMHB20220008	0	1	0	0	0	R
HenanCDC_SMHB20220010-3	0	1	0	0	0	R
HenanCDC_SMHB20220011	0	1	0	0	0	R
HenanCDC_SMHB20220031-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022041-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022041-3	0	1	0	0	0	R
