	broad-spectrum_class_A_beta-lactamase_TEM-1	aminoglycoside_N-acetyltransferase_AAC(3)-IVa	SMR_family_transporter(WP_000159237.1)	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	NAD(+)--rifampin_ADP-ribosyltransferase_Arr-2	extended-spectrum_class_A_beta-lactamase_CTX-M-55	oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1	class_A_beta-lactamase	extended-spectrum_class_A_beta-lactamase_CTX-M-14	sulfonamide-resistant_dihydropteroate_synthase_Sul1	Group
GuangdongCDC_GuangdongCDC_22ESS0292	0	0	0	0	0	1	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0507	1	0	0	1	0	1	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0531	0	0	0	0	0	1	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0551	0	1	0	1	0	1	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0559	0	0	0	0	0	0	0	0	0	1	R
GuangdongCDC_GuangdongCDC_22ESS0582	1	0	0	1	0	0	0	0	0	1	R
GuangdongCDC_GuangdongCDC_22ESS0610	0	0	0	0	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0638	1	0	0	0	0	1	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0646	1	0	0	1	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_GD22_SAL_036	1	0	0	0	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_GD22_SAL_239	1	0	0	0	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_GD22_SAL_240	1	0	0	0	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_GD22_SAL_442	1	0	0	0	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_GD22_SAL_451	1	0	0	0	0	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZAS2022-003	1	0	0	1	0	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZAS2022-004	1	0	0	0	0	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZAS2022-122	0	0	0	0	0	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZGY2022-003	1	0	0	0	0	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZGY2022-004	0	0	0	1	0	1	0	0	0	1	R
GuizhouCDC_GuizhouCDC_GZGY2022-146	1	0	1	0	0	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZQDN2022-030	1	1	0	0	1	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZQN2022-148	1	0	1	0	0	0	0	0	0	1	R
GuizhouCDC_GuizhouCDC_GZTR2022-025	0	1	0	1	0	0	0	0	0	1	R
GuizhouCDC_GuizhouCDC_GZTR2022-086	0	1	0	1	0	0	1	0	0	1	R
GuizhouCDC_GuizhouCDC_GZTR2022-124	1	0	1	0	0	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZTR2022-125	0	1	0	1	1	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZZY2022-010	1	0	1	0	0	0	0	0	0	1	R
GuizhouCDC_GuizhouCDC_GZZY2022-081	0	0	0	0	0	0	0	0	1	1	R
GuizhouCDC_GuizhouCDC_GZZY2022-082	1	0	0	0	0	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZZY2022-087	1	0	0	0	0	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZZY2022-130	0	0	0	1	1	1	0	0	0	0	R
HebeiCDC_HebeiCDC_HE031902-2022-00068-FB-01-SM-01	0	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMAY20220020	1	0	0	1	1	1	0	0	0	0	R
HenanCDC_SMAY20220048	0	0	0	0	1	0	0	0	0	0	R
HenanCDC_SMAY20220054	0	1	0	1	0	0	0	0	0	0	R
HenanCDC_SMAY20220056	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMAY20220070	0	1	0	1	1	0	0	0	0	0	R
HenanCDC_SMAY20220077	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMAY20220081	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMAYS2022009-1	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMHALYTZGH3	0	0	1	1	0	1	0	0	0	0	R
HenanCDC_SMHALYTZGH7	0	1	0	1	1	0	0	0	0	0	R
HenanCDC_SMHALYTZHJ4	0	0	0	1	1	0	0	0	0	0	R
HenanCDC_SMHALYTZHJ6	0	0	0	1	1	0	0	0	0	0	R
