	extended-spectrum_class_A_beta-lactamase_CTX-M-55	extended-spectrum_class_A_beta-lactamase_CTX-M-65	extended-spectrum_class_A_beta-lactamase_CTX-M-14	quinolone_resistance_pentapeptide_repeat_protein_QnrB22	class_C_beta-lactamase_CMY-2	macrolide_resistance_MFS_transporter_Mrx(A)	extended-spectrum_class_A_beta-lactamase_CTX-M-123	MBL_fold_metallo-hydrolase(WP_001522969.1)	extended-spectrum_class_A_beta-lactamase_CTX-M-64	sulfonamide-resistant_dihydropteroate_synthase_Sul1	Group
HenanCDC_SMHBRJ2022124	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022125	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022128-1	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022128-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022129-1	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022129-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022130	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022131	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022132-1	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022132-3	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022134-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022135-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022136-2	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHBRJ2022137-2	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHBRJ2022137-3	0	0	1	0	0	1	0	0	0	1	R
HenanCDC_SMHBRJ2022142-2	0	1	0	0	0	1	0	0	0	1	R
HenanCDC_SMHBRJ2022142-3	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022143	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022144	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022145	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMJY2022001	0	1	0	0	0	1	0	0	0	0	R
HenanCDC_SMJZ2022005	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMJZ2022008	0	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMJZ2022013	0	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMJZ2022015	1	0	0	0	0	1	0	0	0	0	R
